dep_var,factor,label,category,dep_var_transf,time_period,controls
deaths,Non_Hispanic_White,Non-Hispanic White,pre-COVID,normal,full,comorbid_pc1
deaths,Non_Hispanic_Black,Non-Hispanic Black,pre-COVID,normal,full,comorbid_pc1
deaths,Non_Hispanic_API,Non-Hispanic Asian,pre-COVID,normal,full,comorbid_pc1
deaths,Non_Hispanic_AIAN,Non-Hispanic American Indian,pre-COVID,normal,full,comorbid_pc1
deaths,Hispanic,Hispanic,pre-COVID,normal,full,comorbid_pc1
deaths,pct_below_poverty,percent living below the poverty line,pre-COVID,normal,full,comorbid_pc1
deaths,GINI_2019,income inequality,pre-COVID,normal,full,comorbid_pc1
deaths,haqi,health access and quality,pre-COVID,normal,full,comorbid_pc1
deaths,health_spending_pc_adj,health spending per capita (price adjusted),pre-COVID,normal,full,comorbid_pc1
deaths,ph_spending_pc_adj,public health spending per capita (price adjusted),pre-COVID,normal,full,comorbid_pc1
deaths,ph_fte_pc,public health employees per capita,pre-COVID,normal,full,comorbid_pc1
deaths,hw_pc,healthcare workers per capita,pre-COVID,normal,full,comorbid_pc1
deaths,pct_uninsured,percent without health insurance,pre-COVID,normal,full,comorbid_pc1
deaths,GovernorParty,Republican governor,pre-COVID,normal,full,comorbid_pc1
deaths,VoteShare,percent voted for Republican Pres candidate,pre-COVID,normal,full,comorbid_pc1
deaths,interpersonal_trust,interpersonal trust,pre-COVID,normal,full,comorbid_pc1
deaths,science_trust,trust in science,pre-COVID,normal,full,comorbid_pc1
deaths,government_trust,trust in government,pre-COVID,normal,full,comorbid_pc1
deaths,paid_leave,paid family/sick leave,pre-COVID,normal,full,comorbid_pc1
deaths,edu,average years of education,pre-COVID,normal,full,comorbid_pc1
deaths,mask_mandate,mask mandate,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,stay_at_home,stay at home order,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,dining_close,restaurant closure,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,bar_close,bar closure,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,gatherings50i100o,gathering restriction,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,primary_edu,primary school closure,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,higher_edu,higher education closure,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,gym_pool_leisure_close,gym/pool closure,COVID policy,log_daily,mandate,comorbid_pc1 + pca
deaths,vax_mandate_schools,vaccine mandates (schools),COVID policy,normal,vaccine_omicron,comorbid_pc1 + pca
deaths,vax_mandate_state,vaccine mandates (state),COVID policy,normal,vaccine_omicron,comorbid_pc1 + pca
deaths,mandate_propensity,mandate propensity,COVID policy,log_daily,mandate,comorbid_pc1
deaths,mask_use,mask use,behavior,log_daily,full_late_start,comorbid_pc1
deaths,mobility,mobility,behavior,log_daily,full_late_start,comorbid_pc1
deaths,vax_fully,vaccine coverage,behavior,log_daily,vaccine_omicron,comorbid_pc1
